folder name,opf link
0002 Carraro,unavailable
0003 Carraro India,unavailable
0004_Carrao India_Dell Wyse Thin Client,unavailable
Abhijeet Katavare TK-0006,OPF- TK-0006-1
ACC Limited SP-B-529,OPF 529
ACC SP-B-002,OPF 002
ACC SP-B-018,OPF 018
ACC SP-B-023,OPF 023
ACC SP-B-025,OPF 025
ACC SP-B-029,OPF 029
ACC SP-B-258,OPF 258
ACC SP-B-259,OPF 259
ACC SP-B-328,OPF 328
ACC SP-B-364,OPF 364
ACC SP-B-456,OPF 456
ACC SP-B-531,OPF 531-1
ACC SP-B-644,OPF 644
ACC SP-B-650,OPF 650
ACC SP-B-655,OPF 655
Accenture SP-B-003,OPF 003
Accenture SP-B-124,OPF 124
Accenture SP-B-327,OPF 327
AC-D-001 Star Union,OPF-AC-D-001
AC-D-002 Alkem,OPF-AC-D-002
AC-D-003 Alkem,OPF-AC-D-003
AC-D-004 Alkem,OPF-AC-D-004
AC-D-005 Alkem,OPF-AC-D-005
AC-D-006 Colgate,OPF-AC-D-006
Actavis SP-K-096,OPF 096 Actavis Pharama develop - M710s-10-8-2018
Acute Intrument,unavailable
AD 0001,Sungard OPF
AD-0003,PAS Mobility Sales OPF
AD-0004,CFO Insight OPF
AD-0005,PAS Mobility Contract Extension OPF-1-1
AD-0006,OPF-March'18
Adity Birla Finance Ltd TK-0010,OPF- TK-010
Adity Birla Finance Ltd TK-NW-002,OPF- TK002
Adity Birla Idea Payments Bank RB-036,OPF-RB-036
Aditya SP-B-210,OPF 210
Aditya Birla Finance Limited TK-NW-009,OPF- TK-NW-009
Aditya Birla Education Trust RB-060,unavailable
Aditya Birla Fiance Ltd TK-NW-003,OPF- TK-NW-0003
Aditya Birla Finance Limited TK-D-012,OPF TK-D-012
Aditya Birla Finance Limited TK-NW-003,OPF- TK-NW-003-2
Aditya Birla Finance ltd TK-007,OPF- TK007
Aditya Birla Finance Ltd TK-077,OPF- TK-077
Aditya Birla Finance Ltd TK-D-004,OPF- TK-D-004-
Aditya Birla Finance Ltd TK-NW-0012,OPF- TK-NW-012
Aditya Birla Finance Ltd TK-NW-0014,OPF- TK-NW-014
Aditya Birla Finance Ltd TK-NW-0016,OPF- TK-NW-016
Aditya Birla Housing Finance Limited TK-NW-0015,OPF- TK-NW-015
Aditya Birla Housing Finance Ltd TK-024,OPF- TK-024
Aditya Birla Housing Finance Ltd TK-078,OPF- TK-078
Aditya Birla Housing Finance Ltd TK-NW-001,OPF- TK-NW-001
Aditya Birla Housing Finance Ltd TK-NW-001,OPF- TK-NW-001-1
Aditya Birla Housing Finance Ltd TK-NW-0011,OPF- TK-011
Aditya Birla Housing Finance Ltd TK-NW-0013,OPF- TK-NW-013
Aditya Birla Housing Finance Ltd TK-NW-004,OPF- TK-NW-0004-1
Aditya Birla Idea Payments Bank Ltd RB-037,OPF-RB-037
Aditya Birla Idea Payments Bank Ltd RB-042,unavailable
Aditya Birla Idea Payments Bank Ltd RB-051,OPF-RB-051
Aditya Birla Idea Payments Bank Ltd RB-058,unavailable
Aditya Birla RB-NW-033,OPF-RB-NW-033
aditya birla-NB,unavailable
Aditya Medisales VG-D-155,OPF-VG-D-155
Advance IQ SP-P-072,OPF 072 Advance IQ HDD
Advance IQ SP-P-339,OPF 339 Advance IQ Antivirus Renewal
Advance IQ SP-P-757,OPF 757 Advance IQ Lenovo TFT
Advance IQ SP-P-816,OPF 816 Advance IQ Lenovo Laptop
Advance IQ SP-P-860,OPF 860 Advance IQ Renewal Antivirous
Advance P-D-699,OPF 699 Advance IQ Server HDD
Advance SP-P-619,OPF 619 Advance IQ Lenovo Ram
Advance SP-P-633,OPF 633 Advance IQ HP Printer
Advance SP-P-634,OPF 634 Advance IQ Epson Printer
Advance SP-P-701,OPF 701 Advance IQ Lenovo Desktop
Aegis Customer Support PV-009,OPF PV 009
Aegis PV-004,OPF PV 004
Aegis PV-005,OPF PV 005
Aegis PV-006,OPF PV 006
Aegis PV-007,OPF PV 007
Aegis PV-008,OPF PV 008
Airtel NJ-I-018,OPF-Bharti Airtel (NJ-I-018)
Airtel NJ-I-019,OPF-Bharti Airtel (NJ-I-019)
Airtel NJ-I-022,OPF-Bharti Airtel (NJ-I-022)
Ambuja Cement Foundation SP-B-026,OPF 026
Ambuja Cement Foundation SP-B-214,OPF 214
Ambuja Cement Foundation SP-B-261,OPF 261-1
Ambuja Cement SP-B-076,OPF 076
Ambuja Cement SP-B-085,OPF 085
Ambuja Cement SP-B-088,OPF 088
Ambuja Cement SP-B-092,OPF 092
Ambuja Cement SP-B-095,OPF 095
Ambuja Cement SP-B-103,OPF 103
Ambuja Cement SP-B-126,OPF 126
Ambuja Cement SP-B-132,OPF 132
Ambuja Cement SP-B-132,OPF 132-1
Ambuja Cement SP-B-230,OPF 230
Ambuja Cement SP-B-247,OPF 247
Ambuja Cement SP-B-280,OPF 280
Ambuja Cement SP-B-308,OPF 308
Ambuja Cement SP-B-309,OPF 309-1
Ambuja Cement SP-B-324,OPF 324
Barclays SP-B-453,OPF 453
Barclays SP-B-455,OPF 455
Barclays SP-B-466,OPF 466
Barclays SP-B-467,OPF 467
Barclays SP-B-478,OPF 478
Barclays SP-B-483-18-19,OPF 483
Barclays SP-B-493,OPF 493
Barclays SP-B-494,OPF 494
Barclays SP-B-495,OPF 495
Barclays SP-B-512,OPF 512
Barclays SP-B-530,OPF 530
Barclays SP-B-541,OPF 541
Beckman SP-B-135,OPF 135
Beckman SP-B-469,OPF 469
Beckman SP-B-502,OPF 502
Beckman SP-B-565,OPF 565
Beckman SP-B-660,OPF 660
Belle View SP-B-438,OPF 438
Bharat GR-M-04,unavailable
Bharti Airtel Ltd. SP-S-074,OPF 074 (Bharti Airtel)- Tablet Qty 25
Bharti Airtel NJ-I-013,OPF-Bharti Airtel (NJ-I-013)
Bharti Airtel NJ-I-016,OPF-Bharti Airtel (NJ-I-016)
Bharti Airtel SP-S-016,OPF 016 (Bharti Airtel)- Tablet Qty 03
Bharti Airtel SP-S-076,OPF 076 (Bharti Airtel)- Tablet Qty 140
Bharti Airtel SP-S-077,OPF 077 (Bharti Airtel)- Tablet Qty 77
Bharti Airtel SP-S-078,OPF 078 (Bharti Airtel) tab warranty- Tablet Qty 78
Bharti Airtel SP-S-102,OPF 102 (Bharti Airtel)- Tablet Qty 09
Bharti Airtel SP-S-103,OPF 103 (Bharti Airtel)- Tablet Qty 11
Bharti Airtel SP-S-159,OPF 159 (Bharti Airtel)- Tablet Qty 09
Bharti Airtel SP-S-161,OPF 161 (Bharti Airtel) tab warranty- Tablet Qty 204
Bluezone SP-P-113,OPF 113 Bluezone Desktop & Laptop
Bluezone SP-R-169,OPF 169 - bluezone - LT
Boehringer SP-SK-01,OPF 01Boehringer
Bureau of Energy Efficiency TK-028,unavailable
Burns & Mcdonnell SP-B-011,OPF 011-1
Burns & Mcdonnell SP-B-056,OPF 056
Burns & Mcdonnell SP-B-068,OPF 068
Burns & Mcdonnell SP-B-069,OPF 069
Burns & Mcdonnell SP-B-089,OPF 089
Burns & Mcdonnell SP-B-134,OPF 134
Burns & Mcdonnell SP-B-322,OPF 322
Burns & Mcdonnells SP-B-406,OPF 406
Capgemini SP-P-766,OPF 766 Capgemini Memory
Capgemini P-D-073,OPF 073 Capgemini Rental Storage
Capgemini P-D-073,OPF 073 Capgemini Rental Storage-1
Capgemini P-D-673,OPF 673 Capgemini Rental Storage
Capgemini P-I-586,OPF 586 Capgemini Mobile Device
Capgemini P-I-589,OPF 589 Capgemini Apple iPad
Capgemini P-I-591,OPF 591 Capgemini Apple iPhone
Capgemini P-I-603,OPF 603 Capgemini Apple Devices
Capgemini P-I-605,OPF 605 Capgemini Apple Accessories
